Nom                                                                 Type
------------------------------------------------------------------  -----------------------------------------------------
vm-novaretail-prod-web-1_OsDisk_1_e31990c7023740e0b62a1e9a56967b29  Microsoft.Compute/disks
vm-novaretail-prod-web-2_OsDisk_1_295ca9e0faa14c14ae31a7ef92cae3aa  Microsoft.Compute/disks
vm-novaretail-prod-web-1                                            Microsoft.Compute/virtualMachines
vm-novaretail-prod-web-2                                            Microsoft.Compute/virtualMachines
mysql-novaretail-prod-p2fxae                                        Microsoft.DBforMySQL/flexibleServers
lb-novaretail-prod-web                                              Microsoft.Network/loadBalancers
nic-novaretail-prod-web-2                                           Microsoft.Network/networkInterfaces
nic-novaretail-prod-web-1                                           Microsoft.Network/networkInterfaces
nsg-novaretail-prod-web                                             Microsoft.Network/networkSecurityGroups
nsg-novaretail-prod-data                                            Microsoft.Network/networkSecurityGroups
novaretail.private.mysql.database.azure.com                         Microsoft.Network/privateDnsZones
novaretail.private.mysql.database.azure.com/mysql-dns-link          Microsoft.Network/privateDnsZones/virtualNetworkLinks
pip-novaretail-prod-lb                                              Microsoft.Network/publicIPAddresses
pip-novaretail-prod-web-1                                           Microsoft.Network/publicIPAddresses
pip-novaretail-prod-web-2                                           Microsoft.Network/publicIPAddresses
vnet-novaretail-prod                                                Microsoft.Network/virtualNetworks
law-novaretail-prod                                                 Microsoft.OperationalInsights/workspaces
stnovaretailp2fxae                                                  Microsoft.Storage/storageAccounts
